Name,Mean
Bezier,11.56
CirclesRandomSize,68.77
CirclesUniformSize,71.19
FillText,7.81
StaticAsteroids,197.92
Image,596.29
IsPointInPath,33.72
MeasureText,265.22
Rave,62.18
