Name,Mean
Bezier,8.51
CirclesRandomSize,66.97
CirclesUniformSize,67.52
FillText,5.07
StaticAsteroids,201.21
Image,657.68
IsPointInPath,74.71
MeasureText,320.49
Rave,115.43
