Name,Mean
Bezier,0.55
CirclesRandomSize,12.84
CirclesUniformSize,12.54
FillText,1.29
StaticAsteroids,8.07
Image,75.82
IsPointInPath,0.37
MeasureText,1.40
Rave,0.58
