Name,Mean
Bezier,4.09
CirclesRandomSize,105.45
CirclesUniformSize,75.41
FillText,48.33
StaticAsteroids,121.71
Image,21.87
IsPointInPath,0.49
MeasureText,50.56
Rave,20.50
