Name,Mean
Bezier,6.90
CirclesRandomSize,138.64
CirclesUniformSize,106.90
FillText,57.95
StaticAsteroids,365.10
Image,214.63
IsPointInPath,22.31
MeasureText,184.18
Rave,58.30
