Name,Mean
Bezier,3.23
CirclesRandomSize,46.26
CirclesUniformSize,31.32
FillText,5.22
StaticAsteroids,30.49
Image,209.74
IsPointInPath,0.73
MeasureText,5.92
Rave,10.98
