Name,Mean
Bezier,4.03
CirclesRandomSize,71.15
CirclesUniformSize,62.43
FillText,4.99
StaticAsteroids,309.59
Image,421.41
IsPointInPath,27.73
MeasureText,160.76
Rave,38.66
